Model,MSE,PSNR,SSIM,Pearson
Combined (Stage 1+2),0.015954211354255676,19.116267299882335,0.2872710545023707,0.08380103464436453
V9 Wiener,0.014563515782356262,19.585635359197703,0.29576352184781324,0.08274722193553409
V14 PCA(K=1000)+Wiener(a=0.10),0.014547154738690386,19.591871707201552,0.29601702171361755,0.0845608948225207
