Model,MSE,PSNR,SSIM,Pearson
Combined (Stage 1+2),0.015954211354255676,19.116267299882335,0.2872710545023707,0.08380103464436453
V9 Wiener (reg=1.0e-05),0.014563515782356262,19.585635359197703,0.29576352184781324,0.08274722193553409
V9 Wiener (reg=1.0e-05),0.014563515782356262,19.585635359197703,0.29576352184781324,0.08274722193553409
V9 Gaussian (sigma=0.3),0.015953540802001953,19.116446507368412,0.28724931570065454,0.08359005721204733
