Model,Target,MSE,PSNR,SSIM,Pearson,HP_MSE,HP_Pearson,Note
Ridge-LP,whole frame,0.01632102206349373,18.962251064818908,0.2696208923801899,0.03184397487202468,,,"LP_SIGMA=3, alpha=1.0"
CNN-HP,high-pass residual,,,,,0.0044700042344629765,0.25498631802706667,residual-only evaluation
Ridge-LP + CNN-HP,whole frame,0.015953432768583298,19.116241352536566,0.28727744870631555,0.08381852870170599,,,combined reconstruction
