Model,MSE,PSNR,SSIM,Pearson
Combined (10-fold CV),0.018255824223160744,18.390667688044815,0.20793507648188966,0.06556705478648349
V10 DeblurGANv2 (paper replica),0.02048293687403202,17.68246974334999,0.13764160774652798,0.05210364456851817
