Model,MSE,PSNR,SSIM,Pearson
Ridge-LP (Stage 1),0.01677270047366619,18.823568441588392,0.26720700023553745,0.030182798435635743
Stage 1+2 TemporalMLP,0.018286604434251785,18.55580512013845,0.24840146163412438,0.0602197502542029
Stage 1+2 TemporalCNN,0.01689823344349861,18.881796348014085,0.26241638021781627,0.06025743646818511
