Model,MSE,PSNR,SSIM,Pearson,Note
OLS,0.02965477667748928,16.717979387262485,0.1597676375152621,0.0430452050447478,
Ridge,0.018447423353791237,18.396127838660636,0.216828226913123,0.06715109145944521,
Ridge-LP,0.01632102206349373,18.962251064818908,0.2696208923801899,0.03184397487202468,vs LP: SSIM=0.6921
PCA+Ridge,0.016036616638302803,18.936819158002816,0.2524566033693453,0.10049858098308752,
