Model,Target,MSE,PSNR,SSIM,Pearson,HP_MSE,HP_Pearson,Note
Ridge-LP,whole frame,0.01632102206349373,18.962251064818908,0.2696208923801899,0.03184397487202468,,,"LP_SIGMA=3, alpha=1.0"
CNN-HP,high-pass residual,,,,,0.00470899511128664,0.1425414027854578,residual-only evaluation
Ridge-LP + CNN-HP,whole frame,0.016269225627183914,19.007777738139026,0.2721427317619678,0.04191834620226588,,,combined reconstruction (opt_a)
